match,home_team,away_team,market_name,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Manchester United v Everton,Manchester United,Everton,Match Goals,0.5,1.02,13.25,Sportsbet,49,289,12963213,463328998,2240496954,2240496953
Manchester United v Everton,Manchester United,Everton,Match Goals,1.5,1.17,4.6,Sportsbet,49,289,12963213,463329000,2240496958,2240496957
Manchester United v Everton,Manchester United,Everton,Match Goals,3.5,2.68,1.43,Sportsbet,49,289,12963213,463329010,2240496978,2240496977
Manchester United v Everton,Manchester United,Everton,Match Goals,2.5,1.65,2.15,Sportsbet,49,289,12963213,463329008,2240496974,2240496973
Manchester United v Everton,Manchester United,Everton,Match Goals,4.5,5,1.15,Sportsbet,49,289,12963213,463329012,2240496982,2240496981
Manchester United v Everton,Manchester United,Everton,Match Goals,5.5,8.5,1.05,Sportsbet,49,289,12963213,463328961,2240496986,2240496985
Manchester United v Everton,Manchester United,Everton,Match Goals,6.5,13,1.01,Sportsbet,49,289,12963213,463328963,2240496990,2240496989
Manchester United v Everton,Manchester United,Everton,Match Goals,7.5,51,1.002,Sportsbet,49,289,12963213,463328965,2240496994,2240496993
Chelsea v Aston Villa,Chelsea,Aston Villa,Match Goals,0.5,1.01,17,Sportsbet,49,289,12963262,463332420,2240508388,2240508387
Chelsea v Aston Villa,Chelsea,Aston Villa,Match Goals,1.5,1.13,5.4,Sportsbet,49,289,12963262,463332422,2240508392,2240508391
Chelsea v Aston Villa,Chelsea,Aston Villa,Match Goals,3.5,2.14,1.65,Sportsbet,49,289,12963262,463332525,2240508412,2240508411
Chelsea v Aston Villa,Chelsea,Aston Villa,Match Goals,2.5,1.45,2.61,Sportsbet,49,289,12963262,463332523,2240508408,2240508407
Chelsea v Aston Villa,Chelsea,Aston Villa,Match Goals,4.5,3.92,1.23,Sportsbet,49,289,12963262,463332527,2240508416,2240508415
